sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gcc_code_2021,gcc_name_2021,state_code_2021,state_name_2021,areasqkm_2021,cent_lat,cent_long,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj,sa2_code_2016
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3418.3525,-35.4544524,149.7939012,SE-00006718,Braidwood Preschool,Private not for profit community managed,BRAIDWOOD,2622,NSW,4,Inner Regional,30,PSK,Meeting NQS,nqs,Private not for profit community managed,101021007
101021007,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3418.3525,-35.4544524,149.7939012,SE-00009471,Wallace St Early Learning Centre,Private for profit,BRAIDWOOD,2622,NSW,3,Inner Regional,29,LDC,Meeting NQS,nqs,Private for profit,101021007
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9825,-35.3759407,149.232801,SE-00007720,Karabar Preschool,Private not for profit community managed,QUEANBEYAN,2620,NSW,5,Major Cities,24,PSK,Exceeding NQS,nqs,Private not for profit community managed,101021008
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9825,-35.3759407,149.232801,SE-00008037,KU Queanbeyan South Early Learning Centre,Private not for profit community managed,KARABAR,2620,NSW,1,Major Cities,48,LDC,Exceeding NQS,nqs,Private not for profit community managed,101021008
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9825,-35.3759407,149.232801,SE-00009483,Waratah Pre-School,Private not for profit community managed,QUEANBEYAN,2620,NSW,2,Major Cities,25,PSK,Meeting NQS,nqs,Private not for profit community managed,101021008
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9825,-35.3759407,149.232801,SE-40022401,Mura Preschool,Private not for profit community managed,KARABAR,2620,NSW,2,Major Cities,60,PSK,NA,nqs,Private not for profit community managed,101021008
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,-35.3510299,149.2254628,SE-00006832,Campbell Street Child Care & Early Education Centre,Private not for profit community managed,QUEANBEYAN,2620,NSW,1,Major Cities,58,LDC,Exceeding NQS,nqs,Private not for profit community managed,101021009
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,-35.3510299,149.2254628,SE-00007049,Crest Road Early Learning Centre,Private for profit,QUEANBEYAN,2620,NSW,4,Major Cities,90,LDC,Meeting NQS,nqs,Private for profit,101021009
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,-35.3510299,149.2254628,SE-00007493,Harris Park Preschool,Private not for profit community managed,QUEANBEYAN,2620,NSW,6,Major Cities,80,PSK,Exceeding NQS,nqs,Private not for profit community managed,101021009
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,-35.3510299,149.2254628,SE-00007893,Kindy Patch Cuddly Bear Queanbeyan,Private for profit,QUEANBEYAN,2620,NSW,2,Major Cities,76,LDC,Working Towards NQS,nqs,Private for profit,101021009
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,-35.3510299,149.2254628,SE-00008792,Crestwood World of Learning,Private for profit,QUEANBEYAN,2620,NSW,8,Major Cities,92,LDC,Meeting NQS,nqs,Private for profit,101021009
101021009,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,-35.3510299,149.2254628,SE-40003481,Create Imagine Learn Queanbeyan,Private for profit,CRESTWOOD,2620,NSW,3,Major Cities,84,LDC,Working Towards NQS,nqs,Private for profit,101021009
