sa2_code_2021,Private 4 profit%,Fee per hr,Fee growth%,% fee above cap,Low quality%,On track%,Prenatal visits%,Low b/weight%,Age4 enr%,Reg/remote%,Indig%,SEIFA %,cluster
101021007,50,12.14,5.67201545862112,58.8235294117647,0,77.1,95.1,5.6,103.84615384615385,100,5.970149253731343,0.5,1
101021008,0,12.14,5.67201545862112,58.8235294117647,0,35.7,95.1,5.6,84.04255319148936,0,13.036565977742448,0.45,3
101021009,71.43,12.14,5.67201545862112,58.8235294117647,28.57142857142857,41.1,95.1,5.6,74.24242424242425,0,5.889724310776942,0.44,3
101021012,80,12.14,5.67201545862112,58.8235294117647,20,58.20000000000001,95.1,5.6,81.87134502923976,0,5.330700888450148,0.92,1
101041017,50,10.48,5.5191096576134004,4.54545454545455,0,46.900000000000006,90.7,5.5,79.54545454545455,100,20.502092050209207,0.13,2
101041018,100,10.48,5.5191096576134004,4.54545454545455,0,44.7,90.7,5.5,90.78947368421053,100,15.227272727272728,0.27,2
101041019,40,10.48,5.5191096576134004,4.54545454545455,20,41.60000000000001,90.7,5.5,90.10989010989012,100,11.962616822429908,0.28,2
101041020,0,10.48,5.5191096576134004,4.54545454545455,50,67.09999999999998,90.7,5.5,91.76470588235294,100,6.629834254143646,0.34,2
101041021,100,10.48,5.5191096576134004,4.54545454545455,50,58.599999999999994,90.7,5.5,58.82352941176471,100,7.471264367816093,0.48,3
101041023,0,10.48,5.5191096576134004,4.54545454545455,0,59.4,90.7,5.5,92.5,100,25,0.09,2
101041024,0,10.48,5.5191096576134004,4.54545454545455,0,56.00000000000001,90.7,5.5,96,100,11.695906432748536,0.28,2
101041025,80,10.48,5.5191096576134004,4.54545454545455,0,78.39999999999999,90.7,5.5,85.8974358974359,100,6.640625,0.38,3
101041026,75,10.48,5.5191096576134004,4.54545454545455,25,50.8,90.7,5.5,97.40259740259741,100,10.483870967741936,0.27,2
101041027,50,10.48,5.5191096576134004,4.54545454545455,0,48.80000000000001,90.7,5.5,100,100,14.225941422594143,0.22,2
101051539,50,9.85,1.79934659418942,7.14285714285714,16.666666666666664,53.400000000000006,93.3,6.3,87.24832214765101,100,9.147727272727272,0.23,2
101051540,50,9.85,1.79934659418942,7.14285714285714,25,67,93.3,6.3,76.62337662337663,100,7.151370679380214,0.45,2
102011028,100,10.82,5.82208789192332,5.63380281690141,0,71.7,95.9,5.7,91.66666666666666,0,4.183266932270916,0.84,3
102011029,75,10.82,5.82208789192332,5.63380281690141,25,54,95.9,5.7,94.5945945945946,0,7.096774193548387,0.7,3
102011030,0,10.82,5.82208789192332,5.63380281690141,0,48.90000000000001,95.9,5.7,81.25,100,8.73362445414847,0.62,2
102011031,83.33,10.82,5.82208789192332,5.63380281690141,8.333333333333332,68.09999999999998,95.9,5.7,83.55263157894737,0,5.365853658536586,0.62,3
102011032,77.78,10.82,5.82208789192332,5.63380281690141,11.11111111111111,64.8,95.9,5.7,88.65979381443299,0,7.185185185185185,0.41,3
102011033,75,10.82,5.82208789192332,5.63380281690141,0,57.3,95.9,5.7,86.02150537634408,0,6.212424849699398,0.61,3
102011034,50,10.82,5.82208789192332,5.63380281690141,0,50.8,95.9,5.7,85.86956521739131,0,8.484848484848486,0.42,3
102011035,66.67,10.82,5.82208789192332,5.63380281690141,33.33333333333333,46.900000000000006,95.9,5.7,92.3913043478261,0,7.829181494661921,0.55,3
102011036,75,10.82,5.82208789192332,5.63380281690141,0,54.89999999999999,95.9,5.7,100.99009900990099,0,9.712230215827338,0.61,3
102011037,100,10.82,5.82208789192332,5.63380281690141,0,68.7,95.9,5.7,97.5609756097561,0,5.4892601431980905,0.63,3
102011039,57.14,10.82,5.82208789192332,5.63380281690141,14.285714285714285,65.1,95.9,5.7,92.21556886227546,0,2.058504875406284,0.81,3
102011040,80,10.82,5.82208789192332,5.63380281690141,0,55.1,95.9,5.7,82.22222222222221,0,8.004851425106125,0.29,3
102011041,100,10.82,5.82208789192332,5.63380281690141,14.285714285714285,56.20000000000002,95.9,5.7,84.8,0,4.657534246575342,0.82,3
102011042,44.44,10.82,5.82208789192332,5.63380281690141,0,53,95.9,5.7,73.94366197183099,0,9.55631399317406,0.25,3
102011043,100,10.82,5.82208789192332,5.63380281690141,33.33333333333333,43.900000000000006,95.9,5.7,88.65248226950354,0,9.16870415647922,0.31,3
103011059,75,11.27,5.14071789638373,11.7647058823529,25,55.1,91,8.9,77.83783783783784,100,17.42738589211618,0.37,2
103011061,0,11.27,5.14071789638373,11.7647058823529,0,68.59999999999998,91,8.9,97.77777777777777,100,10.87719298245614,0.25,2
103031070,60,10.07,4.15868141524695,7.14285714285714,20,45.4,92.8,9.2,94.73684210526315,100,16.963064295485637,0.09,2
103031071,0,10.07,4.15868141524695,7.14285714285714,0,55.2,92.8,9.2,88.75,100,15.800415800415802,0.23,2
103031072,62.5,10.07,4.15868141524695,7.14285714285714,0,58.4,92.8,9.2,92.98245614035088,100,13.987284287011809,0.32,2
103031073,0,10.07,4.15868141524695,7.14285714285714,0,80,92.8,9.2,111.11111111111111,100,13.829787234042554,0.06,2
103031074,33.33,10.07,4.15868141524695,7.14285714285714,0,64.1,92.8,9.2,89.51612903225806,100,12.048192771084338,0.28,2
104011080,45.45,10.48,4.13886650706333,16.6666666666667,9.090909090909092,59.5,92.9,5.6,90.36697247706422,100,21.80616740088106,0.08,2
104011081,0,10.48,4.13886650706333,16.6666666666667,0,55.00000000000001,92.9,5.6,91.07142857142857,100,13.205282112845138,0.16,2
