sa4_code,sa4_name,state,sa3_code,sa3_name,service_count,fee_per_hr,prc_growth_since_last_yr,number_of_services_above_cap,prc_services_above_the_cap,year
101,Capital Region,NSW,10102,Queanbeyan,17,11.85,5.16074103510185,5,29.4117647058824,2021
101,Capital Region,NSW,10103,Snowy Mountains,8,9.28,4.80281537047729,0,0,2021
101,Capital Region,NSW,10104,South Coast,23,10.14,4.16960364013768,0,0,2021
101,Capital Region,NSW,10105,"Goulburn -
Mulwaree",14,9.72,4.12057257749352,0,0,2021
101,Capital Region,NSW,10106,Young - Yass,13,10.34,4.32984051510445,0,0,2021
102,Central Coast,NSW,10201,Gosford,68,10.47,5.58000403318148,2,2.94117647058824,2021
102,Central Coast,NSW,10202,Wyong,58,10.43,5.77690676425219,1,1.72413793103448,2021
103,Central West,NSW,10301,Bathurst,16,10.99,6.65452026778687,1,6.25,2021
103,Central West,NSW,10302,Lachlan Valley,21,9.73,9.22193821645089,0,0,2021
103,Central West,NSW,10303,Lithgow - Mudgee,13,9.91,1.78810473218707,0,0,2021
103,Central West,NSW,10304,Orange,21,10.68,6.41583764550246,0,0,2021
104,"Coffs Harbour -
Grafton",NSW,10401,Clarence Valley,12,10.24,6.32724982197662,1,8.33333333333333,2021
104,"Coffs Harbour -
Grafton",NSW,10402,Coffs Harbour,40,10.28,5.3702327821645,1,2.5,2021
105,"Far West and
Orana",NSW,10501,"Bourke - Cobar -
Coonamble",12,9.22,0.13547474225093,0,0,2021
105,"Far West and
Orana",NSW,10502,"Broken Hill and
Far West",<5,NA,0,0,0,2021
105,"Far West and
Orana",NSW,10503,Dubbo,22,9.97,6.77926065656396,0,0,2021
106,"Hunter Valley
exc Newcastle",NSW,10601,Lower Hunter,27,10.16,5.60322745872071,2,7.40740740740741,2021
106,"Hunter Valley
exc Newcastle",NSW,10602,Maitland,42,10.47,5.67815101646201,0,0,2021
106,"Hunter Valley
exc Newcastle",NSW,10603,Port Stephens,26,10.58,3.9109848397742,2,7.69230769230769,2021
106,"Hunter Valley
exc Newcastle",NSW,10604,Upper Hunter,6,9.8,7.75740696743309,0,0,2021
107,Illawarra,NSW,10701,"Dapto - Port
Kembla",31,10.5,3.79699774347696,2,6.45161290322581,2021
107,Illawarra,NSW,10703,"Kiama -
Shellharbour",47,10.91,5.00321932570549,4,8.51063829787234,2021
107,Illawarra,NSW,10704,Wollongong,60,10.9,3.67211627403321,5,8.33333333333333,2021
108,Mid North Coast,NSW,10801,Great Lakes,14,9.86,4.81032917174084,0,0,2021
108,Mid North Coast,NSW,10802,"Kempsey -
Nambucca",10,9.13,3.82627832480396,0,0,2021
108,Mid North Coast,NSW,10804,Port Macquarie,28,10.12,5.90028384589934,0,0,2021
108,Mid North Coast,NSW,10805,"Taree -
Gloucester",22,9.82,4.24654018468439,0,0,2021
109,Murray,NSW,10901,Albury,24,10.64,4.7999931353106,1,4.16666666666667,2021
109,Murray,NSW,10902,Lower Murray,<5,NA,0,0,0,2021
109,Murray,NSW,10903,"Upper Murray
exc. Albury",11,10.61,6.05515772718768,1,9.09090909090909,2021
110,"New England
and North West",NSW,11001,Armidale,10,9.24,4.2528056037605,0,0,2021
110,"New England
and North West",NSW,11002,"Inverell -
Tenterfield",6,9.17,4.6531129137146,0,0,2021
110,"New England
and North West",NSW,11003,Moree - Narrabri,10,8.99,9.60545330680541,0,0,2021
110,"New England
and North West",NSW,11004,"Tamworth -
Gunnedah",30,10.11,3.8426620626855,2,6.66666666666667,2021
111,"Newcastle and
Lake Macquarie",NSW,11101,"Lake Macquarie -
East",46,10.85,3.80105534546573,3,6.52173913043478,2021
111,"Newcastle and
Lake Macquarie",NSW,11102,"Lake Macquarie -
West",29,10.07,5.72592818306759,0,0,2021
111,"Newcastle and
Lake Macquarie",NSW,11103,Newcastle,75,10.86,3.63739954152867,3,4,2021
112,"Richmond -
Tweed",NSW,11201,"Richmond Valley
- Coastal",26,10.55,5.95616565757728,1,3.84615384615385,2021
112,"Richmond -
Tweed",NSW,11202,"Richmond Valley
- Hinterland",18,10.07,5.04889336158898,1,5.55555555555556,2021
