service_approval_number,cent_lat,cent_long
SE-40020540,-30.0276949,153.1669088
SE-40021490,-32.7171047,151.8932813
SE-00008422,-34.6021159,150.8319159
SE-40021056,-34.4191307,150.8546534
SE-40019288,-34.4251103,150.8960751
SE-40023428,-33.682952,150.9485076
SE-40020693,-33.7925541,150.9208295
SE-40022809,-33.7051248,150.8074679
SE-40017757,-33.7126737,150.8607714
SE-40021747,-33.9279597,151.1918453
SE-40018672,-33.9509254,151.1168035
SE-40018601,-33.8674279,151.1669491
SE-40019120,-33.716332,151.1207331
SE-40021498,-34.1934361,150.5441026
SE-00006942,-33.6903463,150.5947959
SE-40022279,-33.8661461,150.8721227
SE-40025540,-36.8956102,146.9966731
SE-40024597,-37.7429785,145.0464124
SE-40019671,-37.5909214,145.0050687
SE-40017248,-37.951343,144.6529034
SE-40016455,-27.352064,152.9943608
SE-40020305,-27.3584091,153.0389141
SE-40019005,-27.5122646,153.0324848
SE-40015238,-27.5270692,153.0455923
SE-40014971,-27.4442588,152.9819152
SE-40022951,-18.0348113,145.2783052
SE-40022928,-26.4026075,149.9191636
SE-40015091,-27.5038161,150.1693834
SE-40022933,-24.0771551,148.0170524
SE-40022938,-24.9335665,149.9407391
SE-40015090,-24.3946075,151.7049357
SE-40024653,-28.0269524,153.4149291
SE-40024211,-28.1159679,153.463108
SE-40023462,-28.1210847,153.3506113
SE-40022182,-27.7476163,153.2513789
SE-40021883,-27.8345065,153.2519691
SE-40018234,-27.6994981,152.8148789
SE-40019789,-27.6853527,152.905035
SE-40017532,-27.6367261,152.8866351
SE-40021812,-28.1375751,152.9193292
SE-40022055,-28.1375751,152.9193292
SE-40023099,-27.6985579,153.1487477
SE-40019273,-22.1866634,148.7270078
SE-40023241,-22.1866634,148.7270078
SE-40023970,-22.1866634,148.7270078
SE-40022057,-27.0569688,152.9261879
SE-40020640,-27.2074879,153.0977536
SE-40018794,-27.2703254,153.0313704
SE-40022955,-17.738938,140.2780709
SE-40022916,-20.5368924,139.6541404
SE-40019584,-26.7025522,153.1014026
SE-40016280,-26.7225243,153.0807973
SE-40016010,-26.5977218,153.0157101
SE-40020021,-26.6330348,152.9504462
SE-40020257,-26.6330348,152.9504462
SE-00002300,-19.30551,146.818513
SE-40019633,-19.2674027,146.826305
SE-00002228,-24.8738373,152.3881592
SE-40023002,-25.9882929,152.9553817
SE-00010109,-34.9285451,138.6006541
SE-40015067,-34.9285451,138.6006541
SE-40022455,-34.9373625,138.6411773
SE-40023171,-34.8775209,138.6718843
SE-40021094,-34.6103977,138.7616111
SE-00010134,-34.650156,138.6501284
SE-40021228,-34.650156,138.6501284
SE-40021251,-34.650156,138.6501284
SE-40023324,-34.8437219,138.6601079
SE-40020631,-34.7687232,138.7390643
SE-40021848,-35.0084815,138.5612642
SE-40015983,-35.0125413,138.5405318
SE-40023231,-34.9977446,138.6486007
SE-40021222,-35.2892704,138.4683574
SE-40021246,-35.2892704,138.4683574
SE-40022067,-32.260591,115.8335989
SE-40019695,-41.4207712,147.1331082
SE-40016894,-41.4555389,147.1475013
SE-00009754,-35.2440401,149.0908348
SE-40024139,-35.1467902,149.107237
SE-40022873,-35.1889709,149.1617883
SE-40020601,-35.4567452,149.0849859
SE-40001901,-9.8587487,142.3659034
SE-40015235,-27.5212454,153.0106057
