sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gcc_code_2021,gcc_name_2021,state_code_2021,state_name_2021,areasqkm_2021,service_approval_number,service_name,mgmt_type,suburb,postcode,state,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,sa2_code_2016,seifa_rank,seifa_decile,seifa_percentile
102021046,Budgewoi - Buff Point - Halekulani,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,9.3297,SE-00006518,Bright House Preschool,Private for profit,BUFF POINT,2262,NSW,Major Cities of Australia,39,LDC,Working Towards NQS,nqs,102021046,326,2,0.15
102021046,Budgewoi - Buff Point - Halekulani,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,9.3297,SE-00006769,Budgewoi Halekulani Pre-School,Private not for profit other organisations,BUDGEWOI,2262,NSW,Major Cities of Australia,39,PSK,Exceeding NQS,nqs,102021046,326,2,0.15
102021046,Budgewoi - Buff Point - Halekulani,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,9.3297,SE-00006770,Milestones Early Learning Budgewoi,Private for profit,BUDGEWOI,2262,NSW,Major Cities of Australia,46,LDC,Meeting NQS,nqs,102021046,326,2,0.15
102021053,The Entrance,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,13.8576,SE-00008248,Little Souls Early Learning Centre,Private for profit,LONG JETTY,2261,NSW,Major Cities of Australia,53,LDC,Meeting NQS,nqs,102021053,381,2,0.18
102021053,The Entrance,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,13.8576,SE-00008270,Long Jetty Preschool,Private not for profit community managed,LONG JETTY,2261,NSW,Major Cities of Australia,40,PSK,Exceeding NQS,nqs,102021053,381,2,0.18
102021053,The Entrance,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,13.8576,SE-00009246,The Entrance Pre-School Kindergarten,Private not for profit community managed,THE ENTRANCE,2261,NSW,Major Cities of Australia,39,PSK,Meeting NQS,nqs,102021053,381,2,0.18
102021053,The Entrance,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,13.8576,SE-00009247,The Entrance Public School Garawa Preschool,State/Territory government schools,THE ENTRANCE,2261,NSW,Major Cities of Australia,20,PSK,Exceeding NQS,nqs,102021053,381,2,0.18
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-00006489,Avalon Beach House Pre-School,Private for profit,AVALON,2107,NSW,Major Cities of Australia,30,LDC,Meeting NQS,nqs,122021420,2071,10,0.95
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-00006577,Early Years Academy Avalon,Private for profit,AVALON,2107,NSW,Major Cities of Australia,38,LDC,Meeting NQS,nqs,122021420,2071,10,0.95
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-00007953,KU - Avalon Preschool,Private not for profit community managed,AVALON,2107,NSW,Major Cities of Australia,40,PSK,Exceeding NQS,nqs,122021420,2071,10,0.95
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-00008653,Palm Beach War Memorial Kindergarten,Private not for profit community managed,PALM BEACH,2108,NSW,Major Cities of Australia,29,PSK,Meeting NQS,nqs,122021420,2071,10,0.95
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-00011818,Bluey's Treehouse Avalon Preschool,Private for profit,AVALON,2107,NSW,Major Cities of Australia,36,LDC,Meeting NQS,nqs,122021420,2071,10,0.95
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-40000352,Barrenjoey Montessori School,Private not for profit community managed,AVALON BEACH,2107,NSW,Major Cities of Australia,52,PSK,Meeting NQS,nqs,122021420,2071,10,0.95
122021420,Avalon - Palm Beach,12202,Pittwater,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,8.6057,SE-40017308,Barrenjoey Montessori School,Private not for profit community managed,AVALON,2107,NSW,Major Cities of Australia,20,PSK,Meeting NQS,nqs,122021420,2071,10,0.95
126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,4.1512,SE-00007586,Hunters Hill Pre-School,Private not for profit community managed,HUNTERS HILL,2110,NSW,Major Cities of Australia,58,PSK,Exceeding NQS,nqs,126021499,2137,10,0.98
126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,4.1512,SE-00013314,Kids Cottage Early Childhood Services - Hunters Hill,Private for profit,HUNTERS HILL,2110,NSW,Major Cities of Australia,40,LDC,Exceeding NQS,nqs,126021499,2137,10,0.98
126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,4.1512,SE-40013321,Greenwood Hunters Hill,Private for profit,HUNTERS HILL,2110,NSW,Major Cities of Australia,88,LDC,Meeting NQS,nqs,126021499,2137,10,0.98
126021499,Hunters Hill - Woolwich,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,4.1512,SE-40021169,Little Zak's Academy Hunters Hill,Private for profit,HUNTERS HILL,2110,NSW,Major Cities of Australia,76,LDC,NA,nqs,126021499,2137,10,0.98
