sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gcc_code_2021,gcc_name_2021,state_code_2021,state_name_2021,areasqkm_2021,cent_lat,cent_long,service_approval_number,service_name,mgmt_type,suburb,postcode,state,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
101021008,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9825,-35.3759407,149.232801,SE-40022401,Mura Preschool,Private not for profit community managed,KARABAR,2620,NSW,60,PSK,NA,nqs,Private not for profit community managed
101021012,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,13.6748,-35.3775783,149.2028493,SE-40021064,Queanbeyan Montessori Academy,Private for profit,QUEANBEYAN WEST,2620,NSW,118,LDC,NA,nqs,Private for profit
101021611,Queanbeyan Surrounds,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3047.7057,-35.4435265,149.3919007,SE-40021323,Captains Flat Community preschool,Private not for profit community managed,CAPTAINS FLAT,2623,NSW,20,PSK,NA,nqs,Private not for profit community managed
101041018,Batemans Bay - South,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,30.5948,-35.7839833,150.2106334,SE-40021736,Sunshine Bay Early Learning Centre,Private for profit,SUNSHINE BAY,2536,NSW,100,LDC,NA,nqs,Private for profit
101061543,Young,10106,Young - Yass,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,505.753,-34.3211069,148.3530434,SE-40020953,Youngstars Early Learning Centre,Private for profit,YOUNG,2594,NSW,104,LDC,NA,nqs,Private for profit
102011031,Erina - Green Point,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,33.7934,-33.4232321,151.4025089,SE-40020333,Little Learning Garden,Private for profit,ERINA,2250,NSW,42,LDC,NA,nqs,Private for profit
102011032,Gosford - Springfield,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,16.9123,-33.4252466,151.3478936,SE-40019891,HEI Schools Gosford Early Education Centre,Private for profit,GOSFORD,2250,NSW,83,LDC,NA,nqs,Private for profit
102011040,Umina - Booker Bay - Patonga,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,25.2285,-33.5291661,151.2981927,SE-40020921,Belong Early Learning Centre,Private for profit,BOOKER BAY,2257,NSW,67,LDC,NA,nqs,Private for profit
102011041,Wamberal - Forresters Beach,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,13.7221,-33.4096956,151.4499544,SE-40020680,Sprout ELC Wamberal Pty Ltd,Private for profit,WAMBERAL,2260,NSW,103,LDC,NA,nqs,Private for profit
102011041,Wamberal - Forresters Beach,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,13.7221,-33.4096956,151.4499544,SE-40025155,Little Miracles Preschool & Long Day Care - Wamberal,Private for profit,WAMBERAL,2260,NSW,80,LDC,NA,nqs,Private for profit
102021056,Warnervale - Wadalba,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,42.89,-33.2420181,151.4581588,SE-40019587,TERRIFIC TOTS,Private for profit,HAMLYN TERRACE,2259,NSW,14,LDC,NA,nqs,Private for profit
