sa2_code_2021,number_service,sa_max_places,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gcc_code_2021,gcc_name_2021,state_code_2021,state_name_2021,areasqkm_2021,private_for_profit,private_not_for_profit_community_managed,private_not_for_profit_other_organisations,s_t_govt_school,state_territory_and_local_government_managed,non_govt_school,other,meeting_nqs,exceeding_nqs,na,working_towards_nqs,excellent,significant_improvement_required,fee_per_hr,fee_prc_growth_since_last_yr,fee_number_of_services_above_cap,fee_prc_services_above_the_cap,aria_inner_regional_australia,aria_major_cities_of_australia,aria_outer_regional_australia,aria_na,aria_remote_australia,aria_very_remote_australia,prenatal_5visits_n,prenatal_5visits_perc,prenatal_1tri_n,prenatal_1tri_perc,prenatal_smoking_n,prenatal_smoking_perc,prenatal_teen_mother_n,prenatal_teen_n,prenatal_teen_mother_per_1000,prenatal_live_births_n,prenatal_low_birthweight_n,prenatal_low_birthweight_perc,prenatal_singletons_n,prenatal_small_n,prenatal_small_perc,age_0,age_1,age_2,age_3,age_4,age_5,total_children_0_5,indigenous_n,non_indigenous_n,not_stated_n,total_n,indigenous_children_as_a_percent_of_all_0_5,children_with_elligible_scores_n,on_track_n,on_track_percent,3 years old,4 years old,5 years old,Total_enrol,seifa_decile_sa2,seifa_rank_sa2,seifa_percentile_sa2,seifa_decile_sa3,seifa_rank_sa3,seifa_percentile_sa3,aria_sa2,aria_sa3,low_quality_nqs,reg_remote_aria,total_number_sa2,private_for_profit_perc_sa2,private_for_profit_perc_sa2_z,fee_per_hr_z,fee_prc_growth_since_last_yr_z,fee_number_of_services_above_cap_z,fee_prc_services_above_the_cap_z,low_quality_perc,low_quality_nqs_z,low_quality_perc_z,on_track_percent_z,prenatal_5visits_perc_z,prenatal_low_birthweight_perc_z,prenatal_small_perc_z,prenatal_teen_mother_perc,prenatal_teen_mother_perc_z,prenatal_smoking_perc_z,age_4_enrol_perc,reg_remote_aria_perc,age_4_enrol_perc_z,indi_percent_z,reg_remote_aria_perc_z,total_number_sa3,private_for_profit_sa3,private_for_profit_perc_sa3,private_for_profit_perc_sa3_z,low_quality_sa3,low_quality_sa3_perc,low_quality_sa3_z,low_quality_sa3_perc_z,on_track_percent_sa3,on_track_percent_sa3_z,age_4_enrol_sa3_perc,age_4_enrol_sa3_perc_z,indi_sa3,indi_sa3_percent,indi_sa3_percent_z,reg_remote_aria_sa3_perc,reg_remote_aria_sa3_perc_z
101021007,2,59,Braidwood,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3418.3525,1,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,12.14,5.67201545862112,10,58.8235294117647,2,0,0,0,0,0,765,95.1,498,60.8,60,7.3,7,1755,4,826,46,5.6,797,82,10.3,40,31,45,44,52,52,268,16,234,18,268,5.970149253731343,48,37,77.1,35,54,9,91,5,1092,0.5,10,2042,0.94,Inner Regional Australia,Major Cities of Australia,0,2,2,50,0.24907826273351413,0.9745545274065841,0.3018409902470488,0.027348317125764188,-0.5409560595808989,0,-0.5697225296885858,-0.5105516442865367,1.9635952722146581,NA,NA,NA,0.4,NA,NA,103.84615384615385,100,0.8807829888930859,-0.10817098884847658,1.2420382821067486,27,14,51.85185185185185,NA,6,22.22222222222222,NA,NA,49.016666666666666,NA,86.0006190773268,NA,37.894910241327835,0.007898063826871162,NA,50,NA
101021008,4,157,Karabar,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9825,0,4,0,0,0,0,0,1,2,1,NA,NA,NA,12.14,5.67201545862112,10,58.8235294117647,0,4,0,0,0,0,765,95.1,498,60.8,60,7.3,7,1755,4,826,46,5.6,797,82,10.3,102,109,123,103,94,102,630,82,510,37,629,13.036565977742448,98,35,35.7,67,79,22,166,5,979,0.45,10,2042,0.94,Major Cities of Australia,Major Cities of Australia,0,0,4,0,-1.3689657684552792,0.9745545274065841,0.3018409902470488,0.027348317125764188,-0.5409560595808989,0,-0.5697225296885858,-0.5105516442865367,-1.6125866547315355,NA,NA,NA,0.4,NA,NA,84.04255319148936,0,-0.30624456500090874,0.5142142806309036,-0.8047764246911946,27,14,51.85185185185185,NA,6,22.22222222222222,NA,NA,49.016666666666666,NA,86.0006190773268,NA,37.894910241327835,0.007898063826871162,NA,50,NA
101021009,7,600,Queanbeyan,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,4.762,5,2,0,0,0,0,0,2,3,NA,2,NA,NA,12.14,5.67201545862112,10,58.8235294117647,0,7,0,0,0,0,765,95.1,498,60.8,60,7.3,7,1755,4,826,46,5.6,797,82,10.3,137,152,128,120,132,127,794,47,722,29,798,5.889724310776942,124,51,41.1,82,98,28,204,5,943,0.44,10,2042,0.94,Major Cities of Australia,Major Cities of Australia,2,0,7,71.43,0.9425719345010312,0.9745545274065841,0.3018409902470488,0.027348317125764188,-0.5409560595808989,28.57142857142857,2.0489418688198016,1.427496487113155,-1.1461281425211625,NA,NA,NA,0.4,NA,NA,74.24242424242425,0,-0.8936641609173953,-0.11525453652879589,-0.8047764246911946,27,14,51.85185185185185,NA,6,22.22222222222222,NA,NA,49.016666666666666,NA,86.0006190773268,NA,37.894910241327835,0.007898063826871162,NA,50,NA
101021012,5,430,Queanbeyan West - Jerrabomberra,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,13.6748,4,0,1,0,0,0,0,2,1,1,1,NA,NA,12.14,5.67201545862112,10,58.8235294117647,0,5,0,0,0,0,765,95.1,498,60.8,60,7.3,7,1755,4,826,46,5.6,797,82,10.3,166,151,160,179,171,188,1022,54,932,27,1013,5.330700888450148,196,114,58.20000000000001,124,140,73,337,10,1993,0.92,10,2042,0.94,Major Cities of Australia,Major Cities of Australia,1,0,5,80,1.2199046814467902,0.9745545274065841,0.3018409902470488,0.027348317125764188,-0.5409560595808989,20,0.7396096695656079,0.8460820476932477,0.33099047947835336,NA,NA,NA,0.4,NA,NA,81.87134502923976,0,-0.4363867527157862,-0.16449136432129166,-0.8047764246911946,27,14,51.85185185185185,NA,6,22.22222222222222,NA,NA,49.016666666666666,NA,86.0006190773268,NA,37.894910241327835,0.007898063826871162,NA,50,NA
101021610,1,111,Googong,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6.9164,0,0,1,0,0,0,0,NA,1,NA,NA,NA,NA,12.14,5.67201545862112,10,58.8235294117647,1,0,0,0,0,0,765,95.1,498,60.8,60,7.3,7,1755,4,826,46,5.6,797,82,10.3,172,177,155,180,159,138,976,31,925,24,980,3.1632653061224487,SA split,SA split,41,NA,NA,NA,NA,10,2042,0.94,10,2042,0.94,Inner Regional Australia,Major Cities of Australia,0,1,1,0,-1.3689657684552792,0.9745545274065841,0.3018409902470488,0.027348317125764188,-0.5409560595808989,0,-0.5697225296885858,-0.5105516442865367,-1.154766263117651,NA,NA,NA,0.4,NA,NA,NA,100,NA,-0.35539150956782073,1.2420382821067486,27,14,51.85185185185185,NA,6,22.22222222222222,NA,NA,49.016666666666666,NA,86.0006190773268,NA,37.894910241327835,0.007898063826871162,NA,50,NA
101021611,8,360,Queanbeyan Surrounds,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3047.7057,4,4,0,0,0,0,0,3,1,1,3,NA,NA,12.14,5.67201545862112,10,58.8235294117647,8,0,0,0,0,0,765,95.1,498,60.8,60,7.3,7,1755,4,826,46,5.6,797,82,10.3,157,186,172,206,196,198,1110,50,1008,52,1110,4.504504504504505,SA split,SA split,41,NA,NA,NA,NA,10,2042,0.94,10,2042,0.94,Inner Regional Australia,Major Cities of Australia,3,8,8,50,0.24907826273351413,0.9745545274065841,0.3018409902470488,0.027348317125764188,-0.5409560595808989,37.5,3.3582740680739955,2.0331365281755587,-1.154766263117651,NA,NA,NA,0.4,NA,NA,NA,100,NA,-0.2372598521062884,1.2420382821067486,27,14,51.85185185185185,NA,6,22.22222222222222,NA,NA,49.016666666666666,NA,86.0006190773268,NA,37.894910241327835,0.007898063826871162,NA,50,NA
101031013,3,66,Bombala,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3990.144,1,2,0,0,0,0,0,3,NA,NA,NA,NA,NA,9.52,5.86925965523521,NA,NA,0,0,3,0,0,0,161,95.3,144,82.8,14,8.1,8,552,14.5,171,7,4.1,171,12,7,18,21,18,26,18,30,130,9,116,10,135,6.666666666666667,30,20,66.69999999999999,41,49,17,108,3,515,0.24,3,563,0.26,Outer Regional Australia,Outer Regional Australia,0,3,3,33.33,-0.29037761726482963,-1.1689637694722996,0.3981182783837783,NA,NA,0,-0.5697225296885858,-0.5105516442865367,1.065230730179865,NA,NA,NA,1.45,NA,NA,272.22222222222223,100,10.973242237290231,-0.04682417126357141,1.2420382821067486,13,5,38.46153846153847,NA,1,7.6923076923076925,NA,NA,55.175,NA,115.28575073351193,NA,23.18950675825057,0.02014726912098225,NA,100,NA
101031014,5,244,Cooma,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,103.6371,3,2,0,0,0,0,0,2,2,NA,1,NA,NA,9.52,5.86925965523521,NA,NA,5,0,0,0,0,0,161,95.3,144,82.8,14,8.1,8,552,14.5,171,7,4.1,171,12,7,69,80,77,82,78,76,461,39,407,14,460,8.478260869565217,66,31,47,57,81,24,167,3,563,0.26,3,563,0.26,Inner Regional Australia,Outer Regional Australia,1,5,5,60,0.5726870689712729,-1.1689637694722996,0.3981182783837783,NA,NA,20,0.7396096695656079,0.8460820476932477,-0.6364790273283474,NA,NA,NA,1.45,NA,NA,103.84615384615385,100,0.8807829888930859,0.11273470987729191,1.2420382821067486,13,5,38.46153846153847,NA,1,7.6923076923076925,NA,NA,55.175,NA,115.28575073351193,NA,23.18950675825057,0.02014726912098225,NA,100,NA
101031015,1,19,Cooma Surrounds,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,6251.0158,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,9.52,5.86925965523521,NA,NA,1,0,0,0,0,0,161,95.3,144,82.8,14,8.1,8,552,14.5,171,7,4.1,171,12,7,25,30,25,30,25,37,174,10,154,3,167,5.9880239520958085,39,24,61.5,0,0,0,0,6,1228,0.57,3,563,0.26,Inner Regional Australia,Outer Regional Australia,0,1,1,0,-1.3689657684552792,-1.1689637694722996,0.3981182783837783,NA,NA,0,-0.5697225296885858,-0.5105516442865367,0.6160484591624694,NA,NA,NA,1.45,NA,NA,0,100,-5.3437540602452565,-0.10659664793526254,1.2420382821067486,13,5,38.46153846153847,NA,1,7.6923076923076925,NA,NA,55.175,NA,115.28575073351193,NA,23.18950675825057,0.02014726912098225,NA,100,NA
101031016,4,173,Jindabyne - Berridale,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,3939.7888,1,3,0,0,0,0,0,2,2,NA,NA,NA,NA,9.52,5.86925965523521,NA,NA,0,0,4,0,0,0,161,95.3,144,82.8,14,8.1,8,552,14.5,171,7,4.1,171,12,7,58,61,52,72,67,71,385,8,360,21,389,2.056555269922879,77,35,45.5,67,57,20,143,6,1297,0.6,3,563,0.26,Outer Regional Australia,Outer Regional Australia,0,4,4,25,-0.5599437528608826,-1.1689637694722996,0.3981182783837783,NA,NA,0,-0.5697225296885858,-0.5105516442865367,-0.7660508362756733,NA,NA,NA,1.45,NA,NA,85.07462686567165,100,-0.2443820830075431,-0.4528666587159198,1.2420382821067486,13,5,38.46153846153847,NA,1,7.6923076923076925,NA,NA,55.175,NA,115.28575073351193,NA,23.18950675825057,0.02014726912098225,NA,100,NA
