sa2_code_2021,sa2_name_2021,sa3_code_2021,sa3_name_2021,sa4_code_2021,sa4_name_2021,gcc_code_2021,gcc_name_2021,state_code_2021,state_name_2021,areasqkm_2021,cent_lat,cent_long,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
101021010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,13.0032,-35.3551579,149.2524126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101041022,Deua - Wadbilliga,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,2781.9988,-36.1768343,149.7468133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102011038,Saratoga - Davistown,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,4.7683,-33.4774857,151.3575655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102021049,Jilliby - Yarramalong,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,346.7662,-33.1729527,151.324132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103011060,Bathurst Surrounds,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,3798.2628,-33.439763,149.5333354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103031075,Wollangambe - Wollemi,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,2448.7276,-33.1600817,150.3855948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105031103,Dubbo Surrounds,10503,Dubbo,105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,4128.5682,-32.2611872,148.7040137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106011109,Cessnock Surrounds,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,1570.4345,-32.9627195,151.1893108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106011113,Singleton Surrounds,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,4067.2348,-32.6291518,151.0108525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107011133,Port Kembla Industrial,10701,Dapto - Port Kembla,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,12.939,-34.4609689,150.8856754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107021135,Illawarra Catchment Reserve,10702,Illawarra Catchment Reserve,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,744.3423,-34.3693987,150.7155525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108031161,Lord Howe Island,10803,Lord Howe Island,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,16.2918,-31.5525329,159.0768063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111031230,Newcastle Port - Kooragang,11103,Newcastle,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales,30.8589,-32.8694688,151.7444781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114011275,Ettrema - Sassafras - Budawang,11401,Shoalhaven,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales,2144.4618,-35.0960751,150.2400787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114011276,Huskisson - Vincentia,11401,Shoalhaven,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales,31.0117,-35.0660795,150.6655769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115031299,Bilpin - Colo - St Albans,11503,Hawkesbury,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,New South Wales,2160.1601,-33.270705,150.7831018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117011320,Banksmeadow,11701,Botany,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,3.9384,-33.9572237,151.2134936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117011324,Port Botany Industrial,11701,Botany,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,2.8044,-33.9721238,151.2225091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118011342,Centennial Park,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,1.9786,-33.8983484,151.23426129999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119041671,Wolli Creek,11904,Kogarah - Rockdale,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,0.6795,-33.9315573,151.1529454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122031694,Dee Why (South) - North Curl Curl,12203,Warringah,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,1.9915,-33.7606582,151.2918465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123021439,Holsworthy Military Area,12302,Campbelltown (NSW),123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,129.823,-34.1009599,150.9001715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124011451,Blue Mountains - North,12401,Blue Mountains,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,595.0366,-33.6024869,150.4452028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124021456,Blue Mountains - South,12402,Blue Mountains - South,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,2456.9093,-33.9932597,150.288163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125011475,Rookwood Cemetery,12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,3.015,-33.8741958,151.0556923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125011709,Silverwater - Newington,12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,3.934,-33.8346256,151.049124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125031486,Smithfield Industrial,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,4.3017,-33.8430692,150.9440282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125031487,Yennora Industrial,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,2.0787,-33.8600845,150.966499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127011592,Badgerys Creek,12701,Bringelly - Green Valley,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,17.5774,-33.8903326,150.7209009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128021537,Royal National Park,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,139.3336,-34.1114117,151.0676582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197979799,Migratory - Offshore - Shipping (NSW),19797,Migratory - Offshore - Shipping (NSW),197,Migratory - Offshore - Shipping (NSW),19799,Migratory - Offshore - Shipping (NSW),1,New South Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
