sa2_code_2016,sa2_5dig_2016,sa2_name_2016,sa3_code_2016,sa3_name_2016,sa4_code_2016,sa4_name_2016,gcc_code_2016,gcc_name_2016,state_code_2016,state_name_2016,areasqkm_2016,cent_long,cent_lat,service_approval_number,service_name,mgmt_type,suburb,postcode,state,seifa,aria,nqs_max_total_places,service_sub_type,nqs_overall_rating,dataset,mgmt_type_adj
101021010,11010,Queanbeyan - East,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,13.0034,149.25242047362684,-35.35519804111949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101041022,11022,Deua - Wadbilliga,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,2781.9988,149.74636668589096,-36.17742338627739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102011038,11038,Saratoga - Davistown,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,4.7683,151.35773911874026,-33.47745114140254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102021049,11049,Jilliby - Yarramalong,10202,Wyong,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,346.7662,151.32414125706646,-33.172962675713286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103011060,11060,Bathurst Region,10301,Bathurst,103,Central West,1RNSW,Rest of NSW,1,New South Wales,3798.2628,149.53298479170738,-33.44042138782206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103031075,11075,Wollangambe - Wollemi,10303,Lithgow - Mudgee,103,Central West,1RNSW,Rest of NSW,1,New South Wales,2448.7276,150.38541406256337,-33.16047819385445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105031103,11103,Dubbo Region,10503,Dubbo,105,Far West and Orana,1RNSW,Rest of NSW,1,New South Wales,4128.5683,148.70354583037076,-32.261554992191016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106011109,11109,Cessnock Region,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,1570.4341,151.18913730902207,-32.96264391919253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106011113,11113,Singleton Region,10601,Lower Hunter,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,4067.2349,151.0100847351089,-32.629413407239014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107011133,11133,Port Kembla Industrial,10701,Dapto - Port Kembla,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,12.7352,150.88510597618398,-34.460904952350745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107021135,11135,Illawarra Catchment Reserve,10702,Illawarra Catchment Reserve,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,744.3423,150.71548147071553,-34.369420653886664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108031161,11161,Lord Howe Island,10803,Lord Howe Island,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,16.2918,159.07684518419555,-31.552889276825592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111031230,11230,Newcastle Port - Kooragang,11103,Newcastle,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales,30.8883,151.74457587882,-32.869552714122015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114011275,11275,Ettrema - Sassafras - Budawang,11401,Shoalhaven,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales,2144.4618,150.23989210517132,-35.09653075609721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114011276,11276,Huskisson - Vincentia,11401,Shoalhaven,114,Southern Highlands and Shoalhaven,1RNSW,Rest of NSW,1,New South Wales,31.0073,150.6655589311387,-35.06605783059825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115031299,11299,Bilpin - Colo - St Albans,11503,Hawkesbury,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,New South Wales,2160.1601,150.78295315802384,-33.27077558728171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117011320,11320,Banksmeadow,11701,Botany,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,3.3683,151.2152364616601,-33.95591933190219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117011324,11324,Port Botany Industrial,11701,Botany,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,2.8044,151.2224955485274,-33.97205623848772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118011342,11342,Centennial Park,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,1.9786,151.2342423556079,-33.89835824419472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123021439,11439,Holsworthy Military Area,12302,Campbelltown (NSW),123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,129.823,150.90013325938833,-34.100947380288645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124011451,11451,Blue Mountains - North,12401,Blue Mountains,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,595.0366,150.44522510870158,-33.602490755910274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
