sa2_name_2021,state_specific_YBFS_no_attended_yes,state_specific_YBFS_no_attended_no,state_specific_YBFS_yes_attended_yes,state_specific_YBFS_yes_attended_no,sa2_code_2021,total_ybfs_no,total_ybfs_yes
Braidwood,4,32,7,57,101021007,36,64
Karabar,19,49,23,82,101021008,68,105
Queanbeyan,19,49,26,113,101021009,68,139
Queanbeyan - East,11,25,22,51,101021010,36,73
Queanbeyan Region,85,187,149,300,NA,272,449
Queanbeyan West - Jerrabomberra,39,92,51,170,101021012,131,221
Bombala,0,46,5,59,101031013,46,64
Cooma,0,48,0,115,101031014,48,115
Cooma Region,0,0,0,0,NA,0,0
Jindabyne - Berridale,3,63,0,78,101031016,66,78
Batemans Bay,0,54,0,104,101041017,54,104
Batemans Bay - South,0,47,0,89,101041018,47,89
Bega - Tathra,0,46,0,131,101041019,46,131
Bega-Eden Hinterland,0,46,0,117,101041020,46,117
Broulee - Tomakin,0,27,0,30,101041021,27,30
Deua - Wadbilliga,0,0,0,0,101041022,0,0
Eden,0,28,0,56,101041023,28,56
Eurobodalla Hinterland,0,13,0,34,101041024,13,34
Merimbula - Tura Beach,0,61,0,111,101041025,61,111
Moruya - Tuross Head,0,53,0,95,101041026,53,95
Narooma - Bermagui,0,70,0,121,101041027,70,121
Goulburn,3,207,11,363,101051539,210,374
Goulburn Region,0,88,6,169,NA,88,175
Yass,5,58,12,104,101061541,63,116
Yass Region,31,70,75,115,NA,101,190
Young,5,111,0,171,101061543,116,171
Young Region,0,86,3,94,NA,86,97
Avoca Beach - Copacabana,0,79,0,147,102011028,79,147
Box Head - MacMasters Beach,0,87,0,165,102011029,87,165
Calga - Kulnura,0,37,0,46,102011030,37,46
Erina - Green Point,0,96,0,202,102011031,96,202
Gosford - Springfield,0,155,0,267,102011032,155,267
Kariong,0,72,0,126,102011033,72,126
Kincumber - Picketts Valley,0,69,0,117,102011034,69,117
Narara,0,67,0,119,102011035,67,119
Niagara Park - Lisarow,0,77,0,149,102011036,77,149
Point Clare - Koolewong,0,55,0,97,102011037,55,97
Saratoga - Davistown,0,71,0,102,102011038,71,102
Terrigal - North Avoca,0,125,4,226,102011039,125,230
Umina - Booker Bay - Patonga,0,227,0,354,102011040,227,354
Wamberal - Forresters Beach,0,97,0,175,102011041,97,175
Woy Woy - Blackwall,0,102,0,156,102011042,102,156
Wyoming,0,117,0,167,102011043,117,167
Bateau Bay - Killarney Vale,0,237,0,417,102021044,237,417
Blue Haven - San Remo,0,124,0,211,102021045,124,211
Budgewoi - Buff Point - Halekulani,0,76,0,146,102021046,76,146
Chittaway Bay - Tumbi Umbi,0,154,0,283,102021047,154,283
Gorokan - Kanwal - Charmhaven,0,167,0,346,102021048,167,346
Jilliby - Yarramalong,0,21,0,50,102021049,21,50
Lake Munmorah - Mannering Park,0,91,0,141,102021050,91,141
Ourimbah - Fountaindale,0,43,0,82,102021051,43,82
Summerland Point - Gwandalan,0,58,0,101,102021052,58,101
The Entrance,0,109,0,213,102021053,109,213
Toukley - Norah Head,0,75,0,152,102021054,75,152
Tuggerah - Kangy Angy,0,51,0,99,102021055,51,99
Warnervale - Wadalba,4,228,0,396,102021056,232,396
Wyong,0,89,0,134,102021057,89,134
Bathurst,0,231,0,357,NA,231,357
Bathurst - East,0,117,0,220,103011059,117,220
Bathurst Region,0,46,0,85,NA,46,85
Oberon,0,29,0,58,103011061,29,58
Condobolin,0,61,0,132,103021062,61,132
Cowra,0,71,0,154,103021063,71,154
Cowra Region,0,35,0,55,NA,35,55
Forbes,0,86,0,194,103021065,86,194
Grenfell,0,34,0,46,103021066,34,46
Parkes (NSW),0,82,0,168,103021067,82,168
Parkes Region,0,27,0,49,NA,27,49
West Wyalong,0,56,0,89,103021069,56,89
Lithgow,0,76,0,167,103031070,76,167
Lithgow Region,0,50,0,103,NA,50,103
Mudgee,3,148,0,265,103031072,151,265
Mudgee Region - East,0,20,0,39,NA,20,39
Mudgee Region - West,0,86,0,173,NA,86,173
Wollangambe - Wollemi,0,0,0,0,103031075,0,0
Blayney,0,73,0,126,103041076,73,126
Orange,0,163,0,274,103041077,163,274
Orange - North,0,222,4,477,103041078,222,481
Orange Region,0,73,0,203,NA,73,203
Grafton,0,148,3,293,104011080,148,296
Grafton Region,0,92,5,205,NA,92,210
Maclean - Yamba - Iluka,0,121,0,207,104011082,121,207
Bellingen,0,53,0,112,104021083,53,112
Coffs Harbour - North,0,163,0,280,104021084,163,280
Coffs Harbour - South,0,90,0,132,104021085,90,132
Coramba - Nana Glen - Bucca,0,29,0,59,104021086,29,59
Dorrigo,0,0,0,0,104021087,0,0
Korora - Emerald Beach,0,92,0,177,104021088,92,177
Sawtell - Boambee,0,151,0,293,104021089,151,293
Urunga,0,37,0,54,104021090,37,54
Woolgoolga - Arrawarra,3,88,4,210,104021091,91,214
Bourke - Brewarrina,0,53,0,66,105011092,53,66
Cobar,0,42,0,63,105011093,42,63
Coonamble,0,41,0,89,105011094,41,89
Nyngan - Warren,0,53,0,96,105011095,53,96
Walgett - Lightning Ridge,0,57,0,120,105011096,57,120
Broken Hill,0,105,0,284,105021097,105,284
Far West,0,12,0,45,105021098,12,45
Coonabarabran,0,46,0,105,105031099,46,105
Dubbo - East,0,97,0,201,105031100,97,201
Dubbo - South,0,207,0,392,105031101,207,392
Dubbo - West,0,106,0,200,105031102,106,200
Dubbo Region,0,47,0,84,NA,47,84
Gilgandra,0,45,0,84,105031104,45,84
Narromine,0,68,0,142,105031105,68,142
Wellington,0,77,0,150,105031106,77,150
Branxton - Greta - Pokolbin,0,168,0,312,106011107,168,312
Cessnock,0,185,0,373,106011108,185,373
Cessnock Region,0,60,0,139,NA,60,139
Dungog,0,126,0,247,106011110,126,247
Kurri Kurri - Abermain,0,199,0,378,106011111,199,378
Singleton,0,132,0,306,106011112,132,306
Singleton Region,0,0,0,0,NA,0,0
Maitland,0,103,0,180,106021114,103,180
Maitland - East,0,242,0,439,NA,242,439
Maitland - North,0,100,0,165,106021116,100,165
Maitland - West,0,292,3,526,NA,292,529
Thornton - Millers Forest,0,168,0,284,106021618,168,284
Anna Bay,0,38,0,68,106031119,38,68
Lemon Tree Passage - Tanilba Bay,0,39,0,84,106031120,39,84
Nelson Bay Peninsula,3,116,0,217,106031121,119,217
Raymond Terrace,0,124,0,254,106031122,124,254
Seaham - Woodville,0,57,0,86,106031123,57,86
Tea Gardens - Hawks Nest,0,16,0,34,106031124,16,34
Williamtown - Medowie - Karuah,0,130,5,252,106031125,130,257
Muswellbrook,0,102,0,197,106041126,102,197
Muswellbrook Region,0,19,0,64,NA,19,64
Scone,0,38,0,104,106041128,38,104
Scone Region,0,49,0,129,NA,49,129
Dapto - Avondale,0,216,0,371,107011131,216,371
Horsley - Kembla Grange,0,170,0,259,107011132,170,259
Port Kembla Industrial,0,0,0,0,107011133,0,0
Unanderra - Mount Kembla,0,143,0,228,107011134,143,228
Berkeley - Lake Heights - Cringila,0,131,0,202,107011545,131,202
Port Kembla - Warrawong,0,79,0,139,107011546,79,139
Windang - Primbee,0,34,0,54,107011547,34,54
Illawarra Catchment Reserve,0,0,0,0,107021135,0,0
Albion Park - Macquarie Pass,0,236,0,358,107031136,236,358
Albion Park Rail,0,56,0,104,107031137,56,104
Kiama,0,64,0,127,107031138,64,127
Kiama Downs - Minnamurra,0,65,0,106,107031139,65,106
Kiama Hinterland - Gerringong,0,64,0,121,107031140,64,121
Shellharbour - Flinders,0,208,0,313,107031141,208,313
Shellharbour - Oak Flats,0,78,0,133,107031142,78,133
Warilla,0,165,0,287,107031143,165,287
Balgownie - Fairy Meadow,0,186,0,319,107041144,186,319
Corrimal - Tarrawanna - Bellambi,0,117,0,227,107041145,117,227
Figtree - Keiraville,0,196,0,356,107041146,196,356
Helensburgh,0,129,0,198,107041147,129,198
Thirroul - Austinmer - Coalcliff,0,87,0,213,107041148,87,213
Woonona - Bulli - Russell Vale,0,192,0,357,107041150,192,357
Wollongong - East,0,57,0,101,107041548,57,101
Wollongong - West,0,119,0,229,107041549,119,229
Bulahdelah - Stroud,0,23,0,60,108011151,23,60
Forster,0,86,0,166,108011152,86,166
Forster-Tuncurry Region,0,34,0,63,NA,34,63
Tuncurry,0,33,0,58,108011154,33,58
Kempsey,0,154,0,206,108021155,154,206
Kempsey Region,0,80,0,96,NA,80,96
Macksville - Scotts Head,0,44,0,81,108021157,44,81
Nambucca Heads,0,46,0,75,108021158,46,75
Nambucca Heads Region,0,75,0,107,NA,75,107
South West Rocks,0,35,0,82,108021160,35,82
Lord Howe Island,0,0,0,4,108031161,0,4
Laurieton - Bonny Hills,0,78,0,208,108041162,78,208
Port Macquarie - East,0,221,0,376,108041619,221,376
Port Macquarie - West,0,157,0,262,108041164,157,262
Port Macquarie Region,0,0,0,0,NA,0,0
Wauchope,0,183,0,251,108041166,183,251
