sa2_name_2021.x,state_specific_YBFS_no_attended_yes,state_specific_YBFS_no_attended_no,state_specific_YBFS_yes_attended_yes,state_specific_YBFS_yes_attended_no,total_ybfs_no,total_ybfs_yes,sa2_code_2021,sa2_name_2021.y,dist
206319239,0,0,0,0,0,0,101021007,Braidwood,1
206319239,0,0,0,0,0,0,101021008,Karabar,1
206319239,0,0,0,0,0,0,101021009,Queanbeyan,1
206319239,0,0,0,0,0,0,101021010,Queanbeyan - East,1
206319239,0,0,0,0,0,0,101021012,Queanbeyan West - Jerrabomberra,1
206319239,0,0,0,0,0,0,101021610,Googong,1
206319239,0,0,0,0,0,0,101021611,Queanbeyan Surrounds,1
206319239,0,0,0,0,0,0,101031013,Bombala,1
206319239,0,0,0,0,0,0,101031014,Cooma,1
206319239,0,0,0,0,0,0,101031015,Cooma Surrounds,1
206319239,0,0,0,0,0,0,101031016,Jindabyne - Berridale,1
206319239,0,0,0,0,0,0,101041017,Batemans Bay,1
206319239,0,0,0,0,0,0,101041018,Batemans Bay - South,1
206319239,0,0,0,0,0,0,101041019,Bega - Tathra,1
206319239,0,0,0,0,0,0,101041020,Bega-Eden Hinterland,1
206319239,0,0,0,0,0,0,101041021,Broulee - Tomakin,1
206319239,0,0,0,0,0,0,101041022,Deua - Wadbilliga,1
206319239,0,0,0,0,0,0,101041023,Eden,1
206319239,0,0,0,0,0,0,101041024,Eurobodalla Hinterland,1
206319239,0,0,0,0,0,0,101041025,Merimbula - Tura Beach,1
206319239,0,0,0,0,0,0,101041026,Moruya - Tuross Head,1
206319239,0,0,0,0,0,0,101041027,Narooma - Bermagui,1
206319239,0,0,0,0,0,0,101051539,Goulburn,1
206319239,0,0,0,0,0,0,101051540,Goulburn Surrounds,1
206319239,0,0,0,0,0,0,101061541,Yass,1
206319239,0,0,0,0,0,0,101061542,Yass Surrounds,1
206319239,0,0,0,0,0,0,101061543,Young,1
206319239,0,0,0,0,0,0,101061544,Young Surrounds,1
206319239,0,0,0,0,0,0,102011028,Avoca Beach - Copacabana,1
206319239,0,0,0,0,0,0,102011029,Box Head - MacMasters Beach,1
206319239,0,0,0,0,0,0,102011030,Calga - Kulnura,1
